Unnamed: 0,GEOID,Pickup,MedianIncome,Median Age,Population_Density, Employment_Density,Percent_Zero_Car_Ownership,LandUse_Diversity,Distance_from_transit, Trip miles,Trip seconds
190,17031160300,552,76222,34.8,34.97937901,3.133108734,0.089013051,0.171824923,333.9366667,6.543548387,1044.827957
191,17031160400,757,83598,35.9,27.52036397,8.698406322,0.051256737,0.908456108,346.01,6.212809917,1055.938017
192,17031160501,293,59000,34.8,45.08257894,1.695302817,0.152836556,0.114442338,242.745,7.132222222,1262.822222
193,17031160502,295,62607,33.8,53.37752559,2.866558481,0.102240212,0.177407934,262.4133333,6.287654321,1003.296296
194,17031160601,233,82723,36.6,41.93103877,5.893765088,0.087296804,0.346131861,258.8366667,5.815189873,1049.088608
195,17031160602,345,69594,35,43.4056203,3.328296727,0.065386064,0.184252609,247.66,5.71300813,1070.235772
196,17031160700,1189,84713,38.8,34.66274275,9.806430503,0.195287959,0.809467526,259.908,5.46796875,962.9375
197,17031160800,1128,62584,33.5,30.26788968,4.456006915,0.128101181,0.39092653,234.428,6.217877095,955.2290503
198,17031160900,171,107031,37.4,16.53910283,4.460130885,0.161548195,0.600049078,316.505,5.5298071,925.7035707
199,17031161000,266,136750,37.1,20.40645265,4.095394304,0.118211468,0.521594547,262.86,6.163636364,954.8863636
200,17031161100,102,150357,38.7,15.16083337,2.804575314,0.076230632,0.532001332,245.425,6.064516129,1049.806452
201,17031161200,86,69896,35.5,26.15809226,7.901633545,0.134258016,1.012352202,360.09,6.978947368,1440.052632
202,17031161300,665,57661,36.8,32.13306453,7.333550447,0.252187396,0.509812701,163.9525,5.975700935,1020.691589
203,17031170100,30,86146,60.6,8.208407972,11.38727151,0.136887556,2.726838586,474.76,6.12,1309.2
204,17031170200,57,73075,37.9,26.68050747,1.415017155,0.214507182,0.204371518,229.3333333,6.06,986.5333333
205,17031170300,152,93281,41.4,21.53895278,2.504865859,0.161092911,0.709200542,473.148,6.585764309,1054.835974
206,17031170400,27,78167,42,22.06999782,2.425183383,0.131823937,0.284104662,232.3475,9.776923077,1284.615385
207,17031170500,118,103542,44.5,18.18760694,0.571444404,0.109268688,0.092914592,350.035,6.836363636,963.7575758
208,17031170700,,74141,43,23.99067509,0.902744254,0.070492086,0.103364512,345.56,8.833333333,1385.466667
209,17031170800,37,68611,43.6,23.20833563,1.887710876,0.150990126,0.252900205,371.0433333,8.35,1280.3
210,17031171000,139,95865,41.6,22.50811379,2.305078959,0.152978268,0.303613653,272.9183333,5.704347826,1255.652174
211,17031171100,79,99293,36.9,23.98252187,1.116346063,0.173506515,0.152205985,229.3333333,6.461904762,1199.18254
212,17031180100,174,76250,37.6,24.67029992,2.117386897,0.05937396,0.263708572,252.934,6.145794393,1147.336449
213,17031190100,380,56597,35.4,33.35886238,55.37622358,0.113548313,5.218335344,264.2,6.916666667,1265.952381
214,17031190200,330,66313,30.8,34.48405696,2.402764727,0.212898346,0.273140475,245.76,6.783168317,1263.227723
215,17031190300,339,72593,43,33.92033222,2.538559468,0.190066858,0.263410722,257.4925,7.633333333,1410.388889
216,17031190401,90,67000,36.4,25.88721788,1.321255818,0.065941197,0.180679375,228.66,5.543589744,1135.217949
217,17031190402,321,62825,36.4,34.47699727,2.240472856,0.075467944,0.227060688,254.14,6.113888889,1142.055556
218,17031190601,109,53375,35.6,44.67329746,0.532719022,0.05124949,0.051435362,231.57,6.017586885,1115.659164
219,17031190602,223,54179,36.5,40.98209285,3.549712318,0.044050031,0.47221072,236.4833333,5.85620915,1122.836601
220,17031190701,89,49531,35.5,42.42703435,2.226548728,0.095694186,0.194254817,202.51,5.04,1126.3
221,17031190702,222,45625,35.2,52.28185379,2.234748803,0.060958806,0.145654607,246.7666667,4.97,1083.52
222,17031190800,410,59471,35.2,44.5760926,2.295667825,0.089413097,0.235236021,266.884,5.482894737,1112.79386
223,17031190900,40,66786,29.5,32.63156698,3.009770073,0.065151515,0.327731092,329.92,6.231578947,1273.131579
224,17031191000,116,60250,38.1,25.1079747,6.202706148,0.074995904,0.895656821,227.99,6.292727273,1170.181818
225,17031191100,603,51590,30.9,38.00828503,3.373729243,0.08704942,0.389783551,214.5783333,7.056060606,1197.530303
226,17031191200,156,46742,33.6,39.00026949,4.31140717,0.13745401,0.766377204,248.105,6.606849315,1213.205479
227,17031191301,142,67604,35.6,37.00563231,3.427815411,0.271411339,0.461704823,210.5566667,5.258041958,1112.454545
228,17031191302,209,55308,33.4,34.65682196,3.389356917,0.139403114,0.370917883,219.945,5.087237569,973.3030387
229,17031200100,171,72857,37.1,26.88659603,1.666741156,0.145171711,0.192874513,402.7833333,7.493939394,1241.363636
230,17031200200,455,56368,39,26.16518235,7.076006928,0.034821072,0.877076314,254.4775,5.534831461,1131.955056
231,17031200300,104,72667,33.3,32.28021126,3.066928136,0.086843297,0.367520162,199.155,5.168521463,891.4833068
232,17031200401,132,46618,34.7,38.06741275,10.68756367,0.127874808,0.904027698,412.395,5.932926829,1124.45122
233,17031200402,272,52188,31.9,47.56968967,3.081527485,0.091674763,0.301839746,318.74,6.079166667,1017.920833
234,17031210100,2014,95682,33.2,22.14487519,11.76484551,0.148571297,1.80824869,206.0833333,5.819391635,1011.098859
235,17031210400,302,52639,33.3,28.14576703,5.617593688,0.16860927,0.881208685,308.455,5.177700142,891.3901442
236,17031210501,775,46369,34.8,40.68458085,10.15775056,0.143935699,0.701967593,288.34,5.878595318,950.0602007
237,17031210502,736,63512,31.6,52.8060267,4.855698733,0.155462185,0.354783477,246.7666667,5.41968254,833.8095238
